Sentence,POS Tags
ದಸೆಕ್ ಘರೆಮ ಲವ್ವೆರ್ ಟ್ರಿಪೋಡ್ ವೇತ್ತಿ ವೊಪರ್ ಪಾಮಣೇನ ಖಾಣೊ ಘಾಲತೆತೆ,adjective noun noun noun verb pronoun noun noun verb
ಘರೇರ್ ಅಂಗಳಾ ದಾಡ್ಡಿ ಝಾಡತೆತೆ,noun noun adverb verb
ಘರೇರ್ ಅಂಗಳಾ ದಾಡ್ಡಿ ಝಾಡಚ,noun noun adverb verb
ದಾಡ್ಡಿ ಘರೆಮ ಸ್ವಚ್ಛ ಝಾಡಚ,adverb noun verb verb
ಗಾವಡಿರ ಗೋಬರ ತಾಂಡೆರ್ ಭಾರೇರ್ ಖಾಡೆಮ ಫೇಕಚ,noun noun noun noun noun verb
ಕೊಳಮಲ ಜೋಣ ಕಸ ಅನ ಗೋಬರೇನ ಖೇತೆಮ್ ಗೊಬ್ಬರಾರ ನಾಯಿ ಉಪಯೋಗ್ ಕರಚ,noun preposition noun conjunction noun noun noun preposition verb verb
ಯೇತಿ ವೂನುನ ಭೀಡಭಾಡೇರ ಸಮಸ್ಯೆ ರೇನಿ,pronoun pronoun noun noun verb
ಮಾಟಿನೊ ದೀ ನೀತರ್ ತೀನ್ ದಾಡೆಮ ಹಂಗೋಳಿ ಕರಚ,noun adjective conjunction adjective noun noun verb
ಬಾಯಿಗೋಳೆನ ಛೋಯೇತಿ ಸಾತ್ ದಾಡೆಮ ಹಂಗೋಳಿ ಕರೇನ ಕಾಂಯಿ ಆಪತ್ತಿ ರೇನಿ,noun adjective adjective noun verb verb noun verb verb
ಬಾಯಿಗೋಳೆತಿ ಜಾಸ್ತ್ ಮಾಟಿನೊ ವೂನೂರ್ ಸೆಮಾನ್ ಬದಲ್ ಕರಚ,noun adjective noun pronoun noun verb verb
ಪಣ ಮಾಟಿ ಅನ ಬಾಯಿಗೋಳೆಮ ಬದಲಾವ್ ದೆಕ್ ಸಕಾಚಾ,conjunction noun verb noun verb verb verb
ವೊ ಕೊಲ್ಯಾತಿ ದಾಂತ ಘಸಚ,pronoun noun noun verb
ವೊ ನೀಮೆರ ಝಾಡೇರ್ ಟೋಂಗ್ಯಾತಿ ದಾಂತ ಘಸಚ,pronoun noun noun noun noun verb
ವೊ ಪರ್ಬಾತಿ ಬಗರ್ ಮುಂಡೊ ಧೊಯೆರ್ ಕಾಂಯಿ ಖಾಯೆನಿ,pronoun noun noun noun verb noun verb
ಕತ್ರಾಕೋ ಮಾಟಿ ಅನ ಬಾಯಿಗೋಳೆನ ಪಾನ ಸಪಾರಿ ಖಾಯೇರ್ ಚಟಾ ರಚ,adjective noun conjunction noun noun noun verb noun verb
ಮಾಟಿನೊ ಕಾಮ್ ಕರತೇ ಬೀಡಿ ಪಿವಚ,noun verb verb noun verb
ವಿದ್ಯಾವಂತ ಛಿಜ್ಯಪರ್ ಸಿಗರೇಟ್ ಪಿವಚ,noun noun noun verb
ವೂನುನ ಕನ್ನಾ ವನಾ ತಾವ್ ಅನ ಜಡ್ದ್ ಆವು ಕರಚ,pronoun adverb adverb noun conjunction noun verb verb
ಸರಕಾರೀ ದಾವಾಖಾನಿನ ಜಾಯೇನ ವೂನುನ ಕಾಂಯಿ ನಿರ್ಬಂಧ ಛೆನಿ,noun noun verb pronoun noun noun verb
ವೊ ಸರಕಾರೀ ಔಷಧಾಲಯನ ಇಲಾಜ್ ಕರಾಯೆನ್ ಜಾಯೆನಿ,pronoun noun noun noun verb verb
ನಾಣಕ್ಯ ಮೋಟ್ ಜಡ್ಡ ನಜರ್ ಅಂದಾಜ್ ಕರಚ ಅನ ದೇಸಿ ಔಷಧೇತಿ ಇಲಾಜ್ ಕರಚ,adjective adjective noun verb verb verb conjunction noun noun noun verb
ವು ಪಾಪುನ ದೂದ್ ಪರಾವಚ ಅನ ವೋರ ಮೋಟ್ ಬೇಟಾ ನೀತರ್ ಬೇಟಿನ ವೊನ ದೇಕೇನ ಛೋಡಚ,pronoun noun noun verb conjunction pronoun adjective noun conjunction noun pronoun verb verb
ಪಾಪು ರೋವ ಜನಾ ಜಾನ ವೊನ ಸಮಾಧಾನ ಕರಾವಚ,noun verb preposition verb pronoun verb verb
ವು ಪಾಪುನ ಲಾಡೆತಿ ದೂದ್ ಪರಾತಿ ಸಮಾಧಾನ ಕರಚ,pronoun noun verb noun verb verb verb
ಪಾಪು ಏಕ್ ವರ್ಸೆರ ವೆಜಾವ ಜನಾ ವೊನ ಘರೆಮ್ ಛೋಡಚ,noun adjective noun verb preposition pronoun noun verb
ಪಾಪುರ ಜವಾಬ್ದಾರಿ ಮೋಟೋ ಬೇಟಾ ನೀತರ ಬೇಟಿನ ದಚ,noun noun adjective noun conjunction noun verb
ಖೆತೇನ ಜಾಯೆನಿ ಜೆರ್ ಆಂಗ ಯಾಡಿ ಪಾಪುನ ಠೀಕ ಖಾಣೊ ಖರಾವಚ,noun verb preposition adverb noun noun verb noun verb
ವು ಕಾಮ್ ಕರಜೋಣ ಖೇತ್ ಘಣ್ ಕನ್ನ ರೇ ಕತೋ,pronoun noun verb noun adjective adverb verb preposition
ವು ದೊಪ್ಪೆರ್ ಘರೇನ್ ಆವಚ,pronoun noun noun verb
ವು ಪಾಪುನ ಖಾಣೊ ಖರಾದೆನಾ ಖೆತೇನ ಹೊಟೋ ಜಾವಚ,pronoun noun noun verb noun verb verb
ಖೇತ್ ಘಣ ದೂರ್ ರೇ ಕತೋ,noun adjective noun verb preposition
ಭಾಯಿ ನೀತರ್ ಭೆನ್ ವೊನ ಯಾಡಿರ ಕನ್ನ ದೊಪ್ಪೆರ್ ಖೆತೇನ ದೂದ್ ಪರಾಯೆನ್ ಲೇಜಾವಚ,noun conjunction noun pronoun noun adverb noun noun noun verb verb
ಪಾಪುನ ಶಿಸ್ತ್ ಸಿಕಾಯೆನ್ ಮಾ ಹರಕನಾಯಿ ಮಾರಚ,noun verb verb noun noun verb
ವು ಬಾಪುರ್ ಕಾಮ್ ಚ,pronoun noun noun verb
ವೂನುನ್ ಏಕಾದ್ ಕಾಮ್ ದಿನೆ ಕತೋ,pronoun adjective noun verb preposition
ವು ವೋರ ನಾಣಕ್ಯಾ ಭಾಯಿ ಭೇನೇನ ದೇಕೇರ್ ಕಾಮ್ ರಚ,pronoun pronoun adjective noun noun verb verb verb
ವೂನೂರ್ ಮಾ ಬಾಪ್ ಖೇತೆಮ್ ದೂರ್ ರ ಜನಾ,pronoun noun noun noun verb verb preposition
ವೊನ ಘರೆಮ್ ದಸೆಕ್ ಆರ್ಥಿಕ್ ಕಾಮ್ ದೇಮಲಚ,pronoun noun adjective noun noun verb
ವು ಜನಗಾನೀನೋ ದೇಕಣು,pronoun noun verb
ವು ವೂನುನ್ ಜಂಗಲೇನ ಚಾರಾಯೆನ್ ಲೇಜಾವಚ,pronoun pronoun noun verb verb
ಛೋರಾ ವೊರ್ ಬಾಪುರ ವಾಸ ದೊಪ್ಪೆರ್ ಖಾಣೊ ಲೇಜಾವಚ,noun pronoun noun preposition noun noun verb
ಬಾಪು ಖೇತೆಮ್ ನೀತರ್ ದುಸ್ರಿ ವಡಿ ಕತಿಕ್ ಕಾಮ್ ಕರು ಕರಚ,noun noun conjunction noun preposition noun noun verb verb
ಛೋರಾ ಬಾಪುರ್ ಕನ್ನ ಕಾಮ್ ಲೇಜಾವಚ,noun noun adverb noun verb
ವು ವಾವಡಿ ನೀತರ್ ಕನ್ನೆರ್ ಖಾಳಯಾತಿ ಅಡಗಿ ಅನ ದೂಸರ್ ಕಾಮೇರ್ ವಾಸ ಪಾಣಿ ಲಾವಚ,pronoun noun conjunction adverb noun noun conjunction noun noun preposition noun verb
ಏಕ್ ಬಾರಹ್ ನೀತರ್ ತೆರಹ್ ವರ್ಸೆರ್ ಛೋರಾ ವೊರ್ ವಾಸ ಪೀಸಾ ಕಮಾವಚ,adjective adjective conjunction adjective noun noun pronoun preposition noun verb
ವು ಘರೆಮ್ ಪೀಸಾ ಗೋಳಾ ಕರೆನ್ ಭೀ ದಚ,pronoun noun noun verb verb preposition verb
ಅತ್ರಾ ವಯಸ್ಸೆಮ್ ವೋರ ಮಾ ಬಾಪ ವೊನ ಏಕ್ ರಾಯ್ತೆರ ಘರೆಮ ಕಾಮ್ ಕರೇನ ಲಗಾಡಚ,adjective noun pronoun noun noun pronoun adjective noun noun verb verb verb
ವು ಜನಗಾನೀನೋ ಚರಾಯೆರೋ ಅನ ಅಜಿ ಕತ್ರಾಕೋ ಕಾಮ್ ಕರಚ,pronoun noun verb conjunction adverb adjective verb verb
ವು ಜನಗಾನೀನುನ ಜಂಗಲೇನ ಚರಾಯೆನ್ ಲೇಜಾವಚ ಅನ ಜನಗಾನಿ ವಾಸ ಪಾಣಿ ಲಾವಚ,pronoun noun noun verb verb conjunction noun preposition noun verb
ವೊರ್ ಮಾಲಕ್ ವೊನ ಹಾಸ್ಗಿರ ಸೆಮಾನ್ ದಚ,pronoun noun pronoun noun noun verb
ಮಾಲಕ್ ವೊನ್ ಧರ್ ವರ್ಸ್ ಚಾರೇತಿ ಪಾಂಚ್ ಜೋಡ್ ಸೆಮಾನ್ ದಚ,noun pronoun noun noun adjective adjective noun noun verb
ಒಪ್ಪಂದ ಕರಮಲ್ ಜು ವು ವೊರ್ ಬಾಪೇನ ದಸೆಕ್ ಪೀಸಾ ದಚ,noun verb preposition pronoun pronoun noun adjective noun verb
ಏ ಅವಧಿನ ಛಿಜ್ಯಪೆರೇರ ಸೇಜ್ ಕಾಮ್ ಸಿಕೇರ್ ಅವಧಿ ಕೆ ಸಕಾಚಾ,pronoun noun noun noun verb verb noun verb verb
ಛೋರಾನ್ ಸಮಯ್ ಮಳ ಜನಾ ಮಾಲಕೆರ ಖೆತೇನ ಜಾವಚ,noun noun verb preposition noun noun verb
ವು ಕಾಮ್ ಕರೆವಾಳ ಮೋಟ್ ಮಾಣಸೇರ್ ಜೋಡಿ ಜಾವಚ,pronoun noun noun adjective noun preposition verb
ವು ಗಳಿಯಾ ಮಾರೆರೋ ಕಸಾ ಕಾಡೇರೋ ಅನ ಬೆಳಿ ಕಾಟೇರ ಸೇಜ್ ಕಾಮ್ ಸಿಕಚ,pronoun noun verb noun verb conjunction noun verb noun verb verb
ಅಠಾರಹ್ ತಿ ಎಕ್ಕೋಣಿಸ್ ವರ್ಸ್ ವೇರ ಲಗಾ,adjective preposition adjective noun verb adverb
ವು ಖೇತೆರ್ ಕಾಮ್ ಕರೇನ ಪೂರಾ ತೈಯಾರ್ ವಚ,pronoun noun noun verb adjective verb verb
ವೋರ ಕಾಮ್ ಕರೆರ್ ಸಾಮರ್ಥ್ಯ ಜಾಸ್ತ್ ವಚ,pronoun verb verb adjective adjective verb
ವೂನುಮ ಜಾಸ್ತ್ ಮಾಣಸೇನ ಖೇತೆಮ್ ಕಾಮ್ ಕರೆರ್ ಸಿಕಾವಚ,pronoun adjective noun noun verb verb verb
ಖೇತೆಮ್ ಕಾಮ್ ಕರೆರ್ ಸಿಕಜಾವ ಜೆರ್ ಪಚ,noun noun verb verb preposition adverb
ಛಿಜ್ಯಾಪರ ರೊಯೋತೆರ ಘರೆಮ್ ಖಾಯಂ ಕಾಮ್ ಕರೆಲಜಾವಚ,noun noun noun noun verb verb
ವೊ ವೂನೂರ್ ಬಾಪೇತಿ ಖೇತೆಮ್ ಕಾಮ್ ಕರೆರ್ ಜವಾಬ್ದಾರಿ ಲಚ,pronoun pronoun noun noun verb verb noun verb
ಛೋರಿನುನ್ ಮೋಟ್ ಕರೆರೋ ಛೋರಾನುತಿ ನಾಳಿ ರಚ,noun adjective verb noun adjective verb
ಛೋರಿನುನ ಘರೆಮ್ ದಸೆಕ್ ಸ್ವತಂತ್ರತಾ ಮಳಚ,noun noun adjective noun verb
ಹರ್ ಏಕ್ ಕಾಮೆಮ ಛೋರಿನುತಿ ಜಾಸ್ತ್ ಛೋರಾನುನ ಆದ್ಯತೆ ದಚ,adverb adjective noun noun adjective noun verb verb
ಪ್ರಾರಭಿಕ ವರ್ಸೆನುಮ ಛೋರಿನುನ ಮಾ ಸಿಕಾವಚ,noun noun noun noun verb
ಡಾವ್ ಮಾಣಸೇರ್ ಮುಂಡಾಗ್ ಕು ರೇಣು ಕೇನ ವೂನುನ ಸಿಕಾವಚ,noun noun preposition verb verb preposition pronoun verb
ಮಾ ಬಾಪ್ ರೇನಿ ಜನಾ ವಲ್ಕಾಣಿ ರೇನಿ ಜೆರ್ ಜೋಡಿ ಕು ರೇಣು ಕೇನ,noun noun verb preposition verb verb preposition preposition verb verb preposition
ವೊ ಅಡಗಿ ಕರೇನ ವೂನೂರ್ ಯಾಡಿರ ಸಹಾಯ್ ಕರಚ ಅನ ಅಡಗಿ ಕರೇನ ಲಕಡಿ ಲಾವಚ,pronoun noun verb pronoun noun verb verb conjunction noun verb noun verb
ವೊ ವೂನೂರ್ ನಾಣಕ್ಯಾ ಭಾಯಿ ಭೇನೇನ ದೇಕಣು,pronoun pronoun adjective noun noun verb
ಛೋರಿ ಮೋಟ್ ವೇರ್ ಲಗಾ ವೊನ ಘರೇರ್ ಕಾಮ್ ಸಿಕಾವಚ,noun adjective verb adverb pronoun noun verb verb
ವೊನ ಅಡಗಿ ಕರೆರೋ ಅನ ದೂಸರ್ ದೇಶಿಯ ಕಾಮ್ ಕರೆರ ಸಿಕಾಣು,pronoun noun verb conjunction noun noun verb verb verb
ವು ವೊರ್ ಯಾಡಿರ ಜೋಡಿ ಖೇತೆಮ್ ಕಾಮ್ ಕರೆರ ಭೀ ಸಿಕಚ,pronoun pronoun noun preposition noun verb verb preposition verb
ವು ಕಸಾ ಕಾಡೇರ ಬೆಳಿ ಕಾಟೇರ ಖೇತೆರ್ ಕಾಮ ಸಿಕಚ,pronoun noun noun noun verb noun noun verb
ಬೇಟಾನೊ ಪರಿವಾರೇರ ಯೋಗಕ್ಷೇಮ ದೇಕಚ ಅನ ಘರೆಮ ರಚ,noun noun noun verb conjunction noun verb
ವೊ ಮಾ ಬಾಪ್ ಬುಡ್ ವೆಜಾವ ಜನಾ ವೂನುನ ದೇಕಚ,pronoun noun noun adjective verb preposition pronoun verb
ವೊ ಏಕ್ ನ ತೊ ಏಕ್ ದಾಡ್ ವೂನೂರ್ ಬೇಟಿನ ವಾಯಾ ಕರನ ವುನೂರ್ ಘರೇತಿ ದೂರ್ ಮೇಲನು,pronoun adjective preposition preposition adjective noun pronoun noun verb verb pronoun noun verb verb
ಛೋರೀನೋ ಪರಿವಾರೇರ ಯೋಗಕ್ಷೇಮೇರ ವಾಸ ಕಾಂಯಿ ಕೊಡುಗೆ ದೇನಿ,noun noun noun preposition noun noun verb
ಜಣಾವ ಜೋಣ ಬಾಯಿ ವೋರ ನಾಮ್ ಪಾಡಚ,verb preposition noun pronoun noun verb
ಜಣಾವಾಲ್ ಬಾಯಿ ಪಾಪುರ ಬಾಪು ಅನ ಬುಡ ಯಾಡಿ ಬಾಪು ಬಲಾವ ಜನಾ ಆವಚ,noun noun noun noun conjunction adjective noun noun verb preposition verb
ಯೇತಿ ದೂಸರ್ ಜಾತಿವಾಳೆರ ನಾಮ್ ಸ್ಪಷ್ಟ ರೂಪೇತಿ ದಿಕಾವಚ,pronoun noun noun noun noun noun verb
ವೊ ನೌ ನೀತರ್ ದಸ್ ವರ್ಸೆರ್ ವಚ,pronoun adjective conjunction adjective noun verb
ಈ ಆಜು ಬಾಜೂರ ಜಾತಿವಾಳೆತಿ ಮಳ್ ಮಲ ಜೋಣ ನವೀನ ಲಕ್ಷಣ ಚ,pronoun noun noun noun verb preposition preposition adjective noun verb
ವೂನುಮ ಬಾಳ್ ಲಟ್ಟಾ ಕಡಾವ ಜೋಣ ಸಮಾರಂಭ ಘಣ್ ಸರಳ್ ರಚ,pronoun noun noun verb preposition noun adjective verb verb
ವೊ ಸಮಾರಂಭೆರ ಆಚೊ ದಾಡ್ ಅನ ಸಮಯ ಬ್ರಾಹ್ಮಣೇನ ಪುಚಚ,pronoun noun adjective noun conjunction noun noun verb
ಕೇಮಲ ಜೆ ದಾಡ್ ಛೋರಾ ನೀತರ್ ಛೋರಿನ ಘರೇರ್ ಮುಂಡಾಗ ಬಸಾರಚ,verb preposition noun noun conjunction noun noun preposition verb
ವೊ ನಾಣಕಿ ಲಕಡಿರ ಮಣಿ ಪರ ಬೇಸಚ,pronoun adjective noun noun preposition verb
ಮಾಮಾ ದಸೆಕ್ ಲಟ್ಟಾ ಕಾಟಚ,noun adjective noun verb
ಬಾಕಿರ್ ಲಟ್ಟಾ ನಾವಿ ಕಾಡಚ,noun noun noun verb
ಛೋರಾರ ಬಾಪ ಮಾಮಾನ ನವೋ ಜಿಗಲಾ ಅನ ಧೋತಿ ದಚ,noun noun noun adjective noun conjunction noun verb
ನಾವಿನ ವೋರ ಕಾಮೇನ ಏಕ್ ರಪಿಯಾ ದಚ,noun pronoun noun adjective noun verb
ಲಾರ್ತಿ ಛೋರಾ ನೀತರ್ ಛೋರಿನ ತಾತೇ ಪಾಣೀತಿ ಹಂಗೋಳಿ ಕರಾವಚ,adverb noun conjunction noun adjective noun verb verb
ಪಾಪುನ ಸಮಾರಂಭೆರ ವಾಸ ಸಿಡಾಮಲ ಜೋಣ ನವ ಸೆಮಾನ ಪೆರಾವಚ,noun noun preposition verb preposition adjective noun verb
ಲಾರ್ತಿ ಬಲಾಮಲ ಜೆ ಪಾಮಣೇನ ಶಾಕಾಹಾರಿ ಖಾಣೊ ಘಾಲಚ,adverb verb preposition noun noun noun verb
ಏ ಸಂದರ್ಭೆಮ ದಾರು ದೇನಿ,pronoun noun noun verb
ಸೆ ಭೇಳನ ಸೊ ರಪಿಯಾ ಖರ್ಚ್ ವಚ,noun verb adjective noun verb verb
ಛೋರಿ ಮೋಟ್ ವೆಜಾವ ಜನಾ ವೊನ ಘರೇರ್ ಏಕ್ ಮುಲ್ಲಿಮ್ ಬಸಾರಚ,noun adjective verb preposition pronoun noun adjective noun verb
ವೊನ ಅಶುದ್ಧ ಕೇನ ಸಮ್ಜಚ ಅನ ಘರೆಮ್ ಕತ್ತಿ ಹಿಂಡೆ ದೇನಿ ಅನ ಕಾಂಯಿ ಛಿಪೆ ದೇನಿ,pronoun noun preposition verb conjunction noun preposition verb verb conjunction noun verb verb
ಪಾಂಚನೆ ದಾಡ್ ಸಾಂಜ ನೀತರ್ ಛೋನೆ ದಾಡ್ ಪರ್ಬಾತಿ ಹಂಗೋಳಿ ಕರಾವಚ,adjective noun noun conjunction adjective noun noun verb verb
ವೊನ ಜಾಜಿಕಾಯಿರ ಕುಂಕುಡಕಾಯ ಅನ ಗಾವಡಿರ ಮೂತೇತಿ ಹಂಗೋಳಿ ಕರಾವಚ,pronoun noun noun conjunction noun noun verb verb
ವೊ ಲೋಕೂನ ಖಾಣೊ ಅನ ದಾರು ಬಿ ದೇನಿ,pronoun noun noun conjunction noun preposition verb
ವೊ ಕನ್ನಾಯಿ ಕುಣಸಿ ಸಮಾರಂಭ ಕರೆನಿ,pronoun adverb noun noun verb
ನಿಯಮಿತ ಮುಟ್ಟೇನ ಮಲಿನ ಕೇನ ದೇಕೆನಿ,noun noun noun preposition verb
ತೀನ ನೇ ದಾಡ್ ಛೋರಿ ಅತ್ರಾಜ್ ಹಂಗೋಳಿ ಕರನು,adjective preposition noun noun adjective verb verb
ಲಾರ ತೀನ್ ದಾಡ್ ಮಲಿನ ರಚ ಕೇನ ದೆಕ್ತೆತೆ,adverb adjective noun noun verb preposition verb
ಬಾಯಿನ ಘರೆಮ್ ಎಕ್ಕಿ ಭಾಂಡೆ ಛಿಪೆ ದೇತೇತೆ ಕೋನಿ,noun noun noun noun verb verb verb
ವು ರೆತೆತೆ ಜೆ ಝುಪಡಿಮಜ್ ರೇತಿತಿ,pronoun verb preposition noun verb
ಈ ಪರಿವರ್ತನೆ ವೂನೂರ ಆರ್ಥಿಕ ಸ್ಥಿತಿರ ಕಾರಣ ಅವಶ್ಯಕ ವೇತ್ತಿ,pronoun noun pronoun noun noun noun verb verb
ಏ ಘರೆಮ ವೋರ ಗೊಣ್ಣಿ ಮುಟ್ಟೇರ ಸಮಯೇಮ ದಾಡ್ಡಿ ಹಂಗೋಳಿ ಕರತೀತಿ,pronoun noun pronoun noun noun noun noun verb verb
ಅಯ್ಯಾ ಕ ಜೆರ ಪ್ರಕಾರ ಛೋರಿ ಮೋಟ್ ವ ಜನಾ ಸಾತ ದಾಡೆರ್ ಲಗಾ ಅಶುದ್ಧ ಕೇನ ಸಮ್ಜತೆತೆ,noun verb preposition noun noun adjective verb preposition adjective noun adverb noun preposition verb
ಘರೇರ್ ಭಾರ ಹರೇ ಪಾಲೇರ ಝುಪಡಿಮ ರಕಾಡತೆತೆ,noun noun adjective noun noun verb
ಋತುಚಕ್ರ ರ ಜೋಣ ಛೋರಿ ಆತ್ಮಾರ ಸರಳ ಪ್ರಾರ್ಥನಾ ರಚ ಕೇನ ವೊ ನಂಬಚ,noun preposition preposition noun noun verb verb verb preposition pronoun verb
ಯೇತಿ ಬಚೆರ್ ವಾಸ ವೊ ಘರೇರ್ ರಸ್ತಾ ಪರ ಮಾರ್ಗೋಸಾ ಪಾಲೊ ಚುಟಾಡಚ,pronoun verb preposition pronoun noun noun preposition noun noun verb
ವು ಸಾತನೆ ದಾಡ್ ಹಂಗೋಳಿ ಕರಚ,pronoun adjective noun verb verb
ಸಾತ್ ದಾಡೆರ್ ಪಚ್ ಭೀ ವೊನ ದಸೆಕ್ ದಾಡೆರ್ ಲಗಾ ಮಲಿನ ಚ ಕೇನ ಸಮ್ಜಚ,adjective noun preposition preposition pronoun adjective noun adverb verb verb preposition verb
ನಿಯಮಿತ ಋತುಚಕ್ರನ ಏಕ್ ನೀತರ್ ದೀ ದಾಡೆರ್ ಲಗಾ ಮಲಿನ ಚ ಕೇನ ದೇಕಚ,noun noun adjective conjunction adjective noun adverb verb verb preposition verb
ವು ಹಂಗೋಳಿ ಕರಚ ಅನ ದೂಸರ್ ಸೆಮಾನ್ ಪೇರಚ,pronoun verb verb conjunction noun noun verb
ನಾಗಪ್ಪ ಪಚಾಸ್ ವರ್ಸೆರ್ ಬುಡೊ ಮಾಣಸ್ ಚ,noun adjective noun adjective noun verb
ವಿಸನ್ ಚಾರ್ ವರ್ಸೆರ್ ಲಾರ ವೋರ ನಾಣಕಿ ಭೇಟಿ ಮೋಟ್ ವಿ ಜನಾ,adjective adjective noun adverb pronoun adjective noun adjective verb preposition
ವು ಪಾಂಚ್ ದಾಡ ಝುಪಡಿರ ಮುಲ್ಲಿಮ ಎಕ್ಲಿ ವೇತ್ತಿ,pronoun adjective noun noun noun noun verb
ವು ಅನ ಘರೇರ್ ದೂಸರ್ ಎಕ್ಕಿ ಮಾಣಸ್ ಏರ್ ಬಗ್ಗೆ ಭಾರೇರ್ ಮಾಣಸೇನ ಕೆ ಕೋನಿ,pronoun conjunction noun noun noun noun pronoun conjunction noun noun verb verb
ವುನೂರ್ ಘರೇನ್ ಅಚಾನಕ್ ಆಯೆ ಜೆ ಮಾಣಸೇನ್ ಅತ್ರಾಜ್ ಏರ್ ಬಗ್ಗೆ ಮಾಲಮ್ ವಿ,pronoun noun noun verb preposition noun adjective pronoun conjunction verb verb
ಬಾಟಿ ಪಾಣಿ ಅನ ಛೋರಿನ ಚಾವ ಜೋಣ ದೂಸರ್ ಸೇಜ್ ಸೆಮಾನ್ ಮುಲ್ಲಿಮಜ್ ದೇತೇತೆ,noun noun conjunction noun verb preposition noun noun noun noun verb
ಪಾಂಚನೆ ದಾಡ್ ಸಾಂಜ್ ವು ತಾತೇ ಪಾಣಿರ ಹಂಗೋಳಿ ಕಿದಿ,adjective noun noun pronoun adjective noun verb verb
ವು ಘರೆಮ್ ಸ್ವತಂತ್ರ ಹಿಂಡೆ ಲಗಿ,pronoun noun noun verb verb
ಜನಾ ವೊ ಖಾಣೆರ ಆಯೋಜನೆ ಕಿದೆ ಕೋನಿ,preposition pronoun noun noun verb verb
ನಿಯಮಿತ ಋತುಚಕ್ರ ರ ಜನಾ ಎಕ್ಕಿ ಬಾಯಿಗೋಳೆನ ಮಲಿನ ಚ ಕೇನ ದೇಕೆನಿ,noun noun verb preposition noun noun verb verb preposition verb
ವೊ ಎಕ್ಕಿ ಔಪಚಾರಿಕ ಹಂಗೋಳಿ ಕಿದಿ ಕೊಂತಿ,pronoun noun noun verb verb verb
ವಾಯಾರ ಆಂಗ ಛೋರಿ ಅನ ಛೋರಾನುನ ಲೈಂಗಿಕ ಸಂಪರ್ಕ ಕರೆ ದೇನಿ,noun adverb noun conjunction noun noun noun verb verb
ಏಕಾದ್ ಮಾಣಸ್ ಏ ನಿಯಮೇನ ತೊಡೆ ಕತೋ ವೊರ್ ಬಗ್ಗೆ ಗಂಭಿರತಾ ತಿ ವಿಚಾರ್ ಕರಚ,adjective noun pronoun noun verb preposition pronoun conjunction noun preposition verb verb
ಬಗರ್ ವಾಯಾವಾಳ ಛೋರಾನುತಿ ಜಾಸ್ತ್ ಬಗರ್ ವಾಯಾರ ಛೋರಿನುನ ವುನೂರ್ ಮಾ ಬಾಪ್ ಅಸ ವಿಚಾರೆಮ ಘಣ ಹುಷಾರ್ ರೇಣು ಕೇನ ಹರ್ದೆ ಕರಾವಚ,noun noun noun adjective noun noun noun pronoun noun noun adjective noun adjective verb verb preposition verb verb
ಮೋಟ್ ಯೇಜಾವ ಜೆರ್ ಪಚ ಛೋರಿನುನ ಶಾರೀರಿಕ ಅನ ಮಾನಸಿಕ ರೂಪೇತಿ ಪ್ರಭುದ್ಧ ಚ ಕೇನ ಸಮ್ಜಚ,adjective verb preposition adverb noun noun conjunction noun noun verb verb preposition verb
ವೊರ್ ಮಾ ಬಾಪ್ ಮಾ ವೊಪರ್ ಜಾಸ್ತ್ ಅಂಕಿ ಮೇಲಮಲಚ,pronoun noun noun noun pronoun adjective noun verb
ವೊ ಕಾಂಯಿ ಮಾಂದೊ ಕಾಮ್ ನ ಕರನು ಅನ ವೋರ ವಾಯಾರ ಅವಕಾಶ ರಚ,pronoun noun adjective verb verb verb conjunction pronoun noun verb verb
ನಿರ್ಬಂಧ ರ ತೊಬಿ ಬಗರ್ ವಾಯಾರ ಕನ್ನಾ ವನಾ ಲೈಂಗಿಕ ಸಂಬಂಧ ಕರು ಕರಚ,noun verb preposition noun noun adverb adverb noun noun verb verb
ಛೋರಿ ವಾಯಾರ ಆಂಗ ಆಸಾತಿ ವೇಗಿ ಕತೋ,noun noun adverb noun verb preposition
ವೂನುನ ಮಾರನ ಲಾರ್ತಿ ಛೋರಿನ ವೋರ ಸಾಥಿರ ನಾಮ ಪುಚಚ,pronoun noun adverb noun pronoun noun noun verb
ವು ನಾಮ್ ಕಿ ಕತೋ ವೊ ಮಾಣಸೇನ ಬಲಾವಚ,pronoun noun verb preposition pronoun noun verb
ವು ಛೋರಿನ ವಾಯಾ ಕರೇನ ಕಿ ಅನ ವೊಜ್ ಸಮಯ ಪರ ವು ನಾಯಕ್ ದಂಡ ಕ ಜತ್ರಾ ದೇಣು,pronoun noun noun verb verb conjunction pronoun noun preposition pronoun noun noun verb adjective verb
ವು ಮಾಣಸ್ ಛೋರೀತಿ ವಾಯಾ ಕರೇನ ನ ವೊಪ್ಪೋ ಕತೋ,pronoun noun noun noun verb verb verb preposition
ವು ದಿಸೆ ತಿ ತೀನ್ ಸೆ ರಪಿಯಾ ಲಗಾ ಪರಿಹಾರ ದೇಣು ಕೇನ ಜಬರದಸ್ತಿ ಕರಚ,pronoun adjective preposition adjective preposition noun adverb noun verb preposition verb verb
